"","order","p_value"
"1635",1635,2.66e-10
"493",493,8.74e-10
"1843",1843,1.32e-08
"377",377,1.68e-08
"1042",1042,3.09e-08
"1423",1423,3.13e-08
"513",513,3.18e-08
"897",897,4.39e-08
"249",249,4.4e-08
"625",625,9.37e-08
"1771",1771,1.77e-07
"1772",1772,4.33e-07
"138",138,4.56e-07
"822",822,5.49e-07
"1494",1494,5.78e-07
"964",964,9.01e-07
"1730",1730,1.74e-06
"1406",1406,1.87e-06
"1060",1060,1.98e-06
"49",49,1.99e-06
"137",137,2.15e-06
"66",66,2.33e-06
"1582",1582,3.12e-06
"14",14,3.21e-06
"824",824,3.42e-06
"812",812,3.54e-06
"1884",1884,4.35e-06
"780",780,4.87e-06
"1674",1674,4.91e-06
"739",739,6.19e-06
"391",391,6.83e-06
"365",365,7.62e-06
"67",67,7.79e-06
"245",245,8.42e-06
"415",415,1.01e-05
"1967",1967,1.07e-05
"1679",1679,1.21e-05
"1648",1648,1.4e-05
"267",267,1.45e-05
"187",187,1.53e-05
"994",994,1.66e-05
"765",765,1.7e-05
"1263",1263,1.9e-05
"1511",1511,1.97e-05
"1546",1546,2.04e-05
"1897",1897,2.1e-05
"802",802,2.36e-05
"1634",1634,2.69e-05
"1960",1960,2.87e-05
"111",111,3.04e-05
"26",26,3.14e-05
"1867",1867,3.38e-05
"732",732,3.46e-05
"1900",1900,4.11e-05
"571",571,4.15e-05
"1153",1153,4.23e-05
"1231",1231,5.27e-05
"1334",1334,5.27e-05
"241",241,5.54e-05
"399",399,5.67e-05
"201",201,5.97e-05
"1836",1836,6.03e-05
"1887",1887,6.2e-05
"1839",1839,6.33e-05
"1247",1247,6.34e-05
"1671",1671,6.81e-05
"1770",1770,7.03e-05
"992",992,7.19e-05
"929",929,7.83e-05
"1668",1668,8.14e-05
"1111",1111,8.19e-05
"1892",1892,8.37e-05
"62",62,8.39e-05
"830",830,8.39e-05
"1411",1411,8.77e-05
"411",411,8.99e-05
"581",581,9.46e-05
"1168",1168,9.95e-05
"1421",1421,0.000102
"1451",1451,0.000103
"495",495,0.000107
"1387",1387,0.00011
"1285",1285,0.000116
"1293",1293,0.000116
"43",43,0.000118
"564",564,0.00012
"345",345,0.000124
"561",561,0.000128
"1583",1583,0.000135
"806",806,0.000138
"1325",1325,0.000139
"1597",1597,0.00014
"892",892,0.000142
"1256",1256,0.000145
"1473",1473,0.000145
"627",627,0.000154
"453",453,0.000159
"1002",1002,0.000164
"1959",1959,0.000172
"1366",1366,0.000176
"1110",1110,0.000177
"662",662,0.000178
"1258",1258,0.00018
"1414",1414,0.000184
"75",75,0.000187
"1924",1924,0.000189
"1761",1761,0.000192
"698",698,0.000195
"1985",1985,0.000196
"1651",1651,0.000203
"70",70,0.000208
"515",515,0.000221
"548",548,0.000222
"989",989,0.000223
"286",286,0.000225
"609",609,0.000225
"1534",1534,0.000242
"1227",1227,0.000243
"1047",1047,0.000245
"652",652,0.000251
"437",437,0.000252
"648",648,0.000278
"1549",1549,0.000279
"529",529,0.00028
"737",737,0.000308
"1196",1196,0.000308
"221",221,0.000311
"866",866,0.000331
"143",143,0.000352
"141",141,0.000362
"1244",1244,0.000363
"31",31,0.000365
"622",622,0.000385
"281",281,0.000386
"1288",1288,0.000392
"1115",1115,0.000404
"520",520,0.000407
"1894",1894,0.00041
"295",295,0.000426
"1675",1675,0.00043
"779",779,0.000453
"1983",1983,0.000456
"199",199,0.000461
"190",190,0.00047
"1208",1208,0.000474
"1340",1340,0.000508
"1260",1260,0.000516
"1974",1974,0.000525
"807",807,0.000564
"1649",1649,0.000575
"1614",1614,0.000576
"601",601,0.000589
"419",419,0.000607
"1946",1946,0.000617
"1982",1982,0.000617
"127",127,0.000634
"619",619,0.000662
"1067",1067,0.000662
"100",100,0.000685
"72",72,0.000693
"440",440,0.000697
"1623",1623,0.000701
"882",882,0.000703
"1210",1210,0.000716
"785",785,0.000718
"1248",1248,0.000723
"758",758,0.000745
"1472",1472,0.000755
"1489",1489,0.000757
"826",826,0.000774
"1466",1466,0.000774
"1187",1187,0.00082
"1560",1560,0.000847
"489",489,0.000882
